ID,station,lat,long,depth
1,H409,24.59558333,-80.59265,139
2,HIS,24.80336667,-80.44455,96
3,HKL,25.01391667,-80.28378333,89
4,HMT,24.42561667,-80.75585,157
5,IS01,24.9064,-80.52633333,11
6,IS02,24.90863333,-80.51893333,18
7,IS03,24.90153333,-80.52051667,38
8,IS04,24.90371667,-80.51308333,37
9,IS05,24.89898,-80.50695,44
10,IS06,24.896566,-80.515333,50
11,KL01,25.18681667,-80.2342,9
12,KL02,25.19108333,-80.22785,9
13,KL03,25.18371667,-80.22688333,13
14,KL04,25.18813333,-80.22055,21
15,KL05,25.18091667,-80.2197,27
16,KL06,25.18513333,-80.21338333,32
17,KW01,24.5154,-81.92285,4
18,KW10,24.48468333,-81.90966667,12
19,KW11,24.47985,-81.91563,12
20,KW12,24.4777,-81.90803333,10
21,KW13,24.4728,-81.9142,12
22,KW14,24.4704,-81.90671667,12
23,KW15,24.46553333,-81.91236667,12
24,KW16,24.46298,-81.905133,13
25,KW17,24.45843333,-81.91096667,12
26,KW18,24.45616667,-81.90353333,13
27,KW19,24.45136667,-81.9095,9
28,KW02,24.51306,-81.915366,7
29,KW20,24.4491,-81.90191667,10
30,KW21,24.44426667,-81.90796667,28
31,KW22,24.44198333,-81.90041667,31
32,KW23,24.43696667,-81.90628333,20
33,KW24,24.43516667,-81.8985,37
34,KW03,24.50828,-81.9214,9
35,KW04,24.506,-81.91401,10
36,KW05,24.50115,-81.91993,11
37,KW06,24.49883,-81.91253,12
38,KW07,24.49411,-81.91853,14
39,KW08,24.49188,-81.91115,14
40,KW09,24.48701667,-81.91708333,12
41,MQ01,24.46845,-82.217,9
42,MQ02,24.46478333,-82.22385,10
43,MQ03,24.4615,-82.21661667,11
44,MQ04,24.45755,-82.2235,14
45,MQ05,24.4542,-82.21655,15
46,MQ06,24.45213333,-82.2239,31
82,MT01,24.6617,-81.06501,12
83,MT02,24.66123,-81.057083,12
84,MT03,24.65516,-81.06141,9
85,MT04,24.6547,-81.0535,9
86,MT05,24.64853,-81.05795,8
87,MT06,24.64811,-81.05005,8
88,MT07,24.641933,-81.05446,10
89,MT08,24.64156,-81.04663,20
90,MT09,24.63538,-81.05088,25
91,MT10,24.6352,-81.04296,35
92,WRadolp,24.53085,-81.46188,31
93,WRbibb,24.9958,-80.379,39
94,WRduane,24.9904,-80.38066,37
95,WReagle,24.87015,-80.57033,32
96,WRvande,24.46005,-81.73608,44
97,WRspeig,25.06656,-80.31081,40
98,WRthund,24.66063,-80.96301,36
99,SW1,24.88473,-80.66448,4
100,SW2,24.87383,-80.66133,3
101,SW3,24.8799,-80.67273,5
102,SW4,24.86608,-80.65567,5
103,SW5,24.85643,-80.64843,6
104,SW6,24.84867,-80.64215,4
105,SW7,24.84057,-80.63573,7
106,SW8,24.83175,-80.62877,35
