Country,Locality,latitude,qD_max,obs_max
ARGENTINA,PTO MADRYN,-42.79205667,33.878,25
BRAZIL,ARRAIAL DO CABO,-22.9705,28.473,21.5
BRAZIL,COSTA DAS ALGAS,-20.02533333,29.035,24.3
BRAZIL,FERNANDO DE NORONHA,-3.846132,17.114,6.75
CHILE,ANTARCTICA,-62.1923275,17.047,13
CHILE,CONCEPCION,-36.58101033,35.617,29.7
CHILE,PUNTA ARENAS,-53.61089,22.391,28
CHILE,REÑACA,-32.9587,34.073,41
COLOMBIA,ISLA GORGONA,2.945950167,65.162,35.3
ECUADOR,SANTA CRUZ,-0.750667333,13.247,8.3
USA,MAINE,44.15677483,14.5132,15.7
USA,MASSACHUSETTS,42.4620305,11.779,9.5
